relative_path,type,pages,word_count,primary_chapter,text_path
Julie Menanno/Secure Love Book Club Ch1 - Julie Menanno.docx,docx,,15562,"Comunicacion, limites, compasion y necesidades",/Users/pedro/AAQ/output/original_sources/extracted_text/Julie_Menanno_Secure_Love_Book_Club_Ch1_-_Julie_Menanno.docx.txt
Julie Menanno/Secure Love Book Club Ch2 - Julie Menanno.docx,docx,,13434,"Discernimiento, dating y eleccion de pareja",/Users/pedro/AAQ/output/original_sources/extracted_text/Julie_Menanno_Secure_Love_Book_Club_Ch2_-_Julie_Menanno.docx.txt
Julie Menanno/Secure Love Book Club Ch3 - Julie Menanno.docx,docx,,26114,Consejos y principios para hombres / Masculino,/Users/pedro/AAQ/output/original_sources/extracted_text/Julie_Menanno_Secure_Love_Book_Club_Ch3_-_Julie_Menanno.docx.txt
Julie Menanno/Secure Love Book Club Ch4 - Julie Menanno.docx,docx,,20510,"Discernimiento, dating y eleccion de pareja",/Users/pedro/AAQ/output/original_sources/extracted_text/Julie_Menanno_Secure_Love_Book_Club_Ch4_-_Julie_Menanno.docx.txt
Julie Menanno/Secure Love Book Club Ch5 Parte 1 - Julie Menanno.docx,docx,,20014,"Discernimiento, dating y eleccion de pareja",/Users/pedro/AAQ/output/original_sources/extracted_text/Julie_Menanno_Secure_Love_Book_Club_Ch5_Parte_1_-_Julie_Menanno.docx.txt
Julie Menanno/Secure Love Book Club Ch5 Parte 2 - Julie Menanno.docx,docx,,13698,"Discernimiento, dating y eleccion de pareja",/Users/pedro/AAQ/output/original_sources/extracted_text/Julie_Menanno_Secure_Love_Book_Club_Ch5_Parte_2_-_Julie_Menanno.docx.txt
Julie Menanno/Secure Love Book Club Ch6 - Julie Menanno.docx,docx,,17232,"Discernimiento, dating y eleccion de pareja",/Users/pedro/AAQ/output/original_sources/extracted_text/Julie_Menanno_Secure_Love_Book_Club_Ch6_-_Julie_Menanno.docx.txt
Julie Menanno/Secure Love Book Club Ch7 - Julie Menanno.docx,docx,,18449,"Discernimiento, dating y eleccion de pareja",/Users/pedro/AAQ/output/original_sources/extracted_text/Julie_Menanno_Secure_Love_Book_Club_Ch7_-_Julie_Menanno.docx.txt
Julie Menanno/Secure Love Book Club Ch8 - Julie Menanno.docx,docx,,18898,"Discernimiento, dating y eleccion de pareja",/Users/pedro/AAQ/output/original_sources/extracted_text/Julie_Menanno_Secure_Love_Book_Club_Ch8_-_Julie_Menanno.docx.txt
Julie Menanno/Secure Love Book Club Ch9 - Julie Menanno.docx,docx,,17882,"Discernimiento, dating y eleccion de pareja",/Users/pedro/AAQ/output/original_sources/extracted_text/Julie_Menanno_Secure_Love_Book_Club_Ch9_-_Julie_Menanno.docx.txt
MINDSET when DATING - nathalie - Transcript.pdf,pdf,2,1141,"Discernimiento, dating y eleccion de pareja",/Users/pedro/AAQ/output/original_sources/extracted_text/MINDSET_when_DATING_-_nathalie_-_Transcript.pdf.txt
Old Templates/LONG TEMPLATES .pdf,pdf,65,20473,"Discernimiento, dating y eleccion de pareja",/Users/pedro/AAQ/output/original_sources/extracted_text/Old_Templates_LONG_TEMPLATES_.pdf.txt
Old Templates/LONG_ATRACCION_Polaridad_masculino_femenina.docx,docx,,1372,"Discernimiento, dating y eleccion de pareja",/Users/pedro/AAQ/output/original_sources/extracted_text/Old_Templates_LONG_ATRACCION_Polaridad_masculino_femenina.docx.txt
Old Templates/LONG_IDENTIDAD_Cambio_e_identidad.docx,docx,,1173,"Discernimiento, dating y eleccion de pareja",/Users/pedro/AAQ/output/original_sources/extracted_text/Old_Templates_LONG_IDENTIDAD_Cambio_e_identidad.docx.txt
Old Templates/LONG_RELACION_Dinamicas_de_pareja.docx,docx,,1267,"Ciclo negativo, conflicto y reparacion",/Users/pedro/AAQ/output/original_sources/extracted_text/Old_Templates_LONG_RELACION_Dinamicas_de_pareja.docx.txt
Old Templates/SHORT TEMPLATES (1).pdf,pdf,22,6550,"Discernimiento, dating y eleccion de pareja",/Users/pedro/AAQ/output/original_sources/extracted_text/Old_Templates_SHORT_TEMPLATES_1_.pdf.txt
Old Templates/SHORT_ATRACCION_Polaridad_masculino_femenina.docx,docx,,1058,Consejos y principios para hombres / Masculino,/Users/pedro/AAQ/output/original_sources/extracted_text/Old_Templates_SHORT_ATRACCION_Polaridad_masculino_femenina.docx.txt
Old Templates/SHORT_IDENTIDAD_Cambio_e_identidad.docx,docx,,925,"Discernimiento, dating y eleccion de pareja",/Users/pedro/AAQ/output/original_sources/extracted_text/Old_Templates_SHORT_IDENTIDAD_Cambio_e_identidad.docx.txt
Old Templates/SHORT_RELACION_Dinamicas_de_pareja.docx,docx,,913,"Ciclo negativo, conflicto y reparacion",/Users/pedro/AAQ/output/original_sources/extracted_text/Old_Templates_SHORT_RELACION_Dinamicas_de_pareja.docx.txt
Origin Attachments.pdf,pdf,17,17468,Fundamentos del apego adulto,/Users/pedro/AAQ/output/original_sources/extracted_text/Origin_Attachments.pdf.txt
Papers/HandbookofEmotionRegulation-SecondEdition.pdf,pdf,14,434,"Mecanismos emocionales, corporales y de regulacion",/Users/pedro/AAQ/output/original_sources/extracted_text/Papers_HandbookofEmotionRegulation-SecondEdition.pdf.txt
Papers/influencers_apego.pdf,pdf,3,899,Fundamentos del apego adulto,/Users/pedro/AAQ/output/original_sources/extracted_text/Papers_influencers_apego.pdf.txt
Thais Gibson/Wounded Bird Syndrome - Thais Gibson.docx,docx,,5925,"Comunicacion, limites, compasion y necesidades",/Users/pedro/AAQ/output/original_sources/extracted_text/Thais_Gibson_Wounded_Bird_Syndrome_-_Thais_Gibson.docx.txt
To Anyone Going Through a Breakup - Mel Robbins - Transcript.pdf,pdf,3,1636,"Discernimiento, dating y eleccion de pareja",/Users/pedro/AAQ/output/original_sources/extracted_text/To_Anyone_Going_Through_a_Breakup_-_Mel_Robbins_-_Transcript.pdf.txt
Why You're Struggling to Find Love - Transcript.pdf,pdf,4,2039,"Discernimiento, dating y eleccion de pareja",/Users/pedro/AAQ/output/original_sources/extracted_text/Why_You_re_Struggling_to_Find_Love_-_Transcript.pdf.txt
